ORF alpha.0 alpha.7 alpha.14 alpha.21 alpha.28 alpha.35 alpha.42 alpha.49 alpha.56 alpha.63 alpha.70 alpha.77 alpha.84 alpha.91 alpha.98 alpha.105 alpha.112 alpha.119 Elu.0 Elu.30 Elu.60 Elu.90 Elu.120 Elu.150 Elu.180 Elu.210 Elu.240 Elu.270 Elu.300 Elu.330 Elu.360 Elu.390 cdc15.10 cdc15.30 cdc15.50 cdc15.70 cdc15.90 cdc15.110 cdc15.130 cdc15.150 cdc15.170 cdc15.190 cdc15.210 cdc15.230 cdc15.250 cdc15.270 cdc15.290 spo.0 spo.2 spo.5 spo.7 spo.9 spo.11 spo5.2 spo5.7 spo5.11 spo..early spo..mid heat.0 heat.10 heat.20 heat.40 heat.80 heat.160 dtt.15 dtt.30 dtt.60 dtt.120 cold.0 cold.20 cold.40 cold.160 diau.a diau.b diau.c diau.d diau.e diau.f diau.g Label gene_class
YBR009C -2.84 -3.18 -1.94 -0.64 1.04 1.17 0.2 0.48 -0.79 -0.81 -1.22 -0.49 0.5 0.53 0.88 0.19 -0.4 -0.74 -2.12 -2.25 -1.94 -1.43 -0.47 -0.15 0.6 0.64 0.46 0.07 -0.27 0.08 -0.49 -1.25 -0.34 -0.84 1.71 1.5 -0.1 -1.32 -0.81 1.38 2 1.29 0.23 -0.3 0.03 0.48 1.21 0.11 0.55 0.53 0.25 -0.15 -0.76 0.12 0.04 -1.06 1.61 -0.1 -0.25 -0.92 -1.69 -2.25 -0.86 -0.94 0.32 0.4 -0.2 -0.56 -0.04 -0.22 -0.76 -1.56 0.06 -0.01 0.2 -0.14 0.34 -0.29 -0.51 Hist 0
YDR224C -1.94 -2 -1.79 -0.4 0.86 0.72 0.51 -0.51 -0.56 -1.15 -1.18 -0.69 0.55 0.51 0.66 -0.12 -0.36 -0.86 -1.18 -1.43 -1.09 -0.84 -0.06 0.52 0.58 1.06 0.7 0.6 0.64 0.42 0.06 -0.51 -1.12 -0.54 1.83 1.76 -0.1 -1.6 -0.89 1.12 1.83 1.4 0.21 -1.25 -0.32 0.15 0.76 0.08 0.55 0.59 0.23 -0.71 -0.92 0.2 -0.4 -1.56 1.55 -0.1 -0.29 -0.6 -1.56 -2 -0.58 -1.09 0.12 -0.1 -0.23 -0.92 -0.1 -0.07 -0.23 -0.86 0.36 0.23 0.19 -0.01 0.03 -0.2 -1 Hist 0
YDR225W -2 -2.84 -1.94 -0.81 0.86 0.64 0.58 -0.45 -0.71 -1.36 -1.43 -1 0.44 0.61 0.93 0.04 -0.36 -0.89 -1.22 -1.32 -1.29 -1.15 -0.47 0.33 0.76 0.59 0.62 0.23 0.3 0.52 -0.32 -1.03 -1.25 -0.89 1.62 1.8 0.11 -1.47 -0.76 1.3 1.86 1.29 0.2 -1 -0.67 -0.17 0.45 -0.25 0.15 -0.1 -0.38 -1 -1.56 0.29 -0.29 -1.56 0.77 -1 -0.34 -0.84 -2.18 -2.74 -0.86 -1.18 0.19 -0.09 -0.38 -1.06 0.24 -0.38 -0.67 -1.47 0.26 0.48 0.62 0.31 0.46 0.03 -0.67 Hist 0
YNL031C -2.25 -1.89 -2 -0.43 0.4 0.82 0.19 -0.6 -0.79 -1.25 -1.47 -0.54 0.36 0.58 0.53 -0.25 -0.3 -0.81 -0.4 -1.03 -0.17 -0.27 0.28 0.81 1.02 1.3 0.8 0.48 0.52 0.32 0.16 -0.32 -0.81 -0.92 1.37 1.52 0.08 -1.03 -0.71 0.95 1.69 1.06 0.18 -0.84 -0.4 0.1 0.67 -0.32 0.19 -0.01 -0.09 -0.32 -0.81 0.24 0.04 -1.03 1.27 -0.34 -0.34 -0.62 -1.06 -2.32 -0.84 -0.04 0.33 0.04 -0.22 -0.69 -0.62 -0.23 -0.84 -1.09 0.12 -0.06 0.03 -0.01 0.07 0.82 -0.25 Hist 0
YPL127C -2.12 -2 -0.45 0.43 0.78 0.86 0.72 0.19 -0.3 -0.76 -0.89 -0.09 0.32 0.45 0.29 0.32 0.16 -0.32 -0.92 -1.32 -1.25 -0.92 0.2 0.77 0.94 1.12 0.82 0.55 0.58 0.42 0.12 -0.3 -1.47 -0.86 0.82 1.2 0.55 -1.18 -0.79 0.8 0.83 1.18 0.49 -1.29 -0.32 0.12 0.45 -0.47 0.53 -0.03 0.96 0.6 0.06 -0.06 0.14 -0.29 1.6 0.82 -0.17 -0.29 -0.14 -0.97 -0.4 0.91 0.23 -0.89 -0.2 -0.3 -0.22 0.43 0.21 0.01 -0.2 -0.04 -0.14 -0.18 -0.36 -0.69 -0.69 Hist 0
YCR040W -0.29 0.31 -0.2 -0.04 -0.38 0.11 -0.2 -0.4 -0.12 0.42 -0.29 0.18 -0.04 -0.29 -0.67 0.23 -0.01 0.16 -0.15 -0.22 0.1 0.1 -0.17 -0.36 0.08 -0.42 -0.15 -0.58 -0.29 -0.54 -0.51 -0.23 -0.17 -0.56 -1.15 -0.32 0.39 0.7 0.25 -0.3 -0.69 -0.32 0.4 0.31 0.62 0.34 0.36 -0.1 -0.51 -0.42 0.11 0.28 0.31 -0.74 0.95 -0.58 0.84 1.7 -0.34 -0.47 -0.15 -0.23 -0.32 -0.14 -0.07 -0.71 -0.4 -0.3 -0.54 -0.09 0.04 -0.06 -0.69 0.66 -0.22 -0.62 -0.74 0.2 0.04 HTH 1
YCR065W -1.22 -0.23 0.54 0.66 0.18 0.07 -0.69 -0.47 -0.43 -0.6 0.18 0.77 0.66 0.38 0.1 0.28 -0.4 -0.38 -1.32 -0.84 -0.07 0.16 0.14 0.74 0.78 0.77 0.18 0.43 0.26 0.25 -0.1 0.19 -0.34 0.52 0.43 0.2 -0.49 -0.62 0.01 0.59 0.53 -0.12 -0.58 0.19 -0.29 -0.43 -0.27 -0.12 0.85 0.6 0.18 -0.4 -0.14 0.2 -0.56 -0.71 1.78 1.35 -0.36 -0.23 -0.2 0.28 -0.22 0.1 -0.79 -0.92 -0.42 -0.14 0.07 -0.09 -0.07 0.36 0.04 -0.01 -0.47 -1 -1.15 -1.43 -1.4 HTH 1
YER088C -0.38 -0.47 -0.89 -0.76 -0.86 -0.81 -0.69 -0.54 -0.42 -0.79 -0.18 -0.51 -0.25 -0.45 -0.49 -0.23 -0.74 -0.54 0.82 -0.01 0.43 0.07 -0.22 0.21 0.21 0.11 -0.07 0.32 0.04 0.08 -0.3 -0.03 0.57 0.33 0.68 1.25 0.82 0.65 0.73 0.96 0.68 0.6 0.58 0.37 0.4 0.28 0.12 0.04 -1.51 -1.03 -0.67 -0.94 -0.6 -0.86 0.32 0.32 -1.43 -1.32 0.32 0.5 0.12 0.37 0.3 0.07 -0.94 -1.22 -0.3 -0.2 0.42 0.31 0.72 0.45 0.32 0.32 0.75 0.12 -0.12 0.45 1.06 HTH 1
YER164W -0.18 -0.12 -0.22 0.03 -0.09 0.16 -0.03 0.15 0.29 -0.29 0.48 -0.12 -0.15 -0.25 0.33 0.6 -0.29 -0.23 0.04 -0.07 -0.06 0.29 -0.12 0.07 0.24 -0.03 -0.06 0.14 -0.15 -0.07 -0.18 0.06 -0.04 -0.15 0.46 -0.47 -0.71 -0.32 -0.25 0.14 0.3 -0.94 -0.56 -0.1 -1.29 -0.27 -0.89 -0.1 0.48 0.33 1.16 0.99 0.83 0.04 0.52 0.36 0.25 -0.04 0.24 -0.27 -0.32 0.73 -0.07 0.93 -0.49 -0.36 -0.64 -0.76 0.4 0.28 0.82 0.98 -0.03 -0.07 -0.2 -0.51 -0.62 -0.56 -0.42 HTH 1
YKR099W -0.49 -0.51 -1.22 -1 -0.97 -0.67 -0.38 -0.25 -0.17 0.04 -0.36 -0.42 -0.27 -0.86 -1.15 -0.27 -0.71 -0.03 -0.79 -0.29 -0.25 0.62 0.23 -0.03 -0.29 -0.15 -0.27 0.24 -0.58 0.46 -0.47 -0.23 0.46 0.58 0.04 -0.14 0.04 -0.06 -0.32 -0.18 0.06 0.1 -0.06 0.34 -0.3 -0.79 -0.38 -0.09 0.46 0.82 1.44 1.25 2.2 -0.74 0.16 0.51 -0.1 0.34 -0.47 -1.06 -0.3 0.1 -0.2 -0.27 -0.67 -0.42 -0.97 -0.81 0.07 0.37 0.12 0.45 -0.04 -0.27 0.33 -0.81 -0.69 -0.62 -1.06 HTH 1
